epoch,train_loss,train_f1,val_loss,val_f1,accuracy,lr
1,0.8334367673595746,0.6774343256465609,0.571143664419651,0.7674791015908131,0.771,5e-05
2,0.5562779494424661,0.7717365773680471,0.4888514554563989,0.7975676258948382,0.7986666666666666,5e-05
3,0.50950411460797,0.7858775114908418,0.46530402420049016,0.8029545226425482,0.8046666666666666,5e-05
4,0.4855866136352221,0.7976450134607597,0.4520883877226647,0.8034674074744355,0.8056666666666666,5e-05
5,0.4687028778642416,0.8046043569946562,0.42643093531753157,0.8202799318312098,0.821,5e-05
