epoch,train_loss,train_f1,val_loss,val_f1,accuracy,lr
1,0.9557614554365476,0.6386435660355122,0.6563752028853336,0.7293954867603399,0.737,3e-05
2,0.6217751952211062,0.7521448876286885,0.5446759280847743,0.7733107641239679,0.777,3e-05
3,0.5505145002504189,0.775759358956178,0.4949227351140469,0.7930876775135497,0.7946666666666666,3e-05
4,0.5176453443070252,0.7860140182431625,0.4685004828299614,0.8063083718164185,0.8076666666666666,3e-05
5,0.4953264586428801,0.7943270209783937,0.45763494478578265,0.8058759006129429,0.8076666666666666,3e-05
